GeneID	TranscriptID	Length	D21_V_1	D21_IFN_1	D21_V_2	D21_IFN_2	D21_V_3	D21_IFN_3
MUC1	NM_001204290	1031	36	221	81	103	31	105
MUC1	NM_001018016	1172	44	275	90	122	42	134
NUP210L	NM_001159484	5426	1	5	9	2	1	1
MUC1	NM_001018017	1145	44	257	85	116	34	126
UHMK1	NM_001184763	8194	16833	29944	21783	6713	13473	17486
UHMK1	NM_175866	8524	17860	31890	23120	7921	14543	18789
PBX1	NM_001353131	3056	0	0	0	0	0	0
PBX1	NM_001353130	6467	0	0	0	0	2	0
PBX1	NM_001204961	6790	0	0	0	0	1	0
PBX1	NM_002585	6903	0	0	0	0	2	0
PBX1	NM_001204963	4147	0	0	0	0	2	0
UHMK1	NM_144624	8446	17176	30735	22224	7323	13933	18061
ALDH9A1	NM_000696	2500	9177	12686	10357	5488	7391	7961
ALDH9A1	NM_001365774	2523	8949	12340	10119	5234	7186	7734
DNM3	NM_001350204	7645	65	75	87	40	31	44
TNN	NM_022093	5035	121	126	165	59	100	61
DNM3	NM_001136127	7615	65	75	87	40	31	44
DNM3	NM_015569	7627	65	75	87	40	31	44
DNM3	NM_001350205	2352	14	18	21	17	4	10
DNM3	NM_001350206	2882	33	39	42	34	15	35
DNM3	NR_146559	7661	65	75	87	40	31	44
SCYL3	NM_020423	6308	1766	3356	2037	1762	1364	1806
DNM3	NM_001278252	2322	14	18	21	17	4	10
SCYL3	NM_181093	3088	1575	2972	1759	1619	1174	1579
SMG7	NM_001350221	6084	18692	29032	21805	18630	15278	16850
RASAL2	NM_170692	15142	26	26	29	7	17	10
ACBD6	NM_032360	1293	6508	9284	7795	4785	5016	5795
SMG7	NM_201569	4649	14058	22038	16696	14279	11654	12818
SMG7	NM_201568	5658	18489	28774	21591	18492	15122	16686
SMG7	NM_173156	5796	19020	29586	22228	19004	15576	17175
SMG7	NM_001350222	5870	18602	28921	21720	18578	15222	16786
SMG7	NM_001350219	5934	18611	28929	21713	18578	15211	16786
SOAT1	NR_045530	6758	5122	9025	6070	3201	4351	5520
SOAT1	NM_003101	6839	6155	10861	7236	4331	5289	6691
SMG7	NM_001350220	6222	19223	29844	22442	19142	15732	17339
SMG7	NM_001174061	5914	18790	29319	21969	18674	15403	16975
SMG7	NM_001331007	5947	18630	28947	21730	18593	15229	16804
SOAT1	NM_001252511	6863	5666	9931	6642	3873	4817	6077
SOAT1	NM_001252512	6796	5234	9228	6234	3312	4498	5683
RGSL1	NM_001137669	3735	7	14	6	0	6	9
BRINP2	NM_021165	4097	0	2	0	6	0	1
RGSL1	NM_001366934	3840	7	15	7	0	7	9
LINC01350	NR_110793	603	0	0	0	0	0	0
LINC01724	NR_146895	1176	0	0	0	0	0	0
ASPM	NM_018136	10863	18400	31322	24375	7027	17031	18595
LINC02789	NR_147896	2296	0	0	0	0	0	0
ASPM	NM_001206846	6133	8810	15103	11547	3682	8116	8981
NEK7	NM_133494	4112	3869	6001	4399	1424	2857	3517
CDK18	NM_002596	3067	18	39	31	30	31	33
PPP1R12B	NM_001167857	1826	149	228	169	118	125	129
CR1	NM_000651	9966	2314	3412	3104	1940	2069	2132
PIK3C2B	NM_002646	7606	13106	16935	16098	9741	12479	12102
CR1	NM_000573	8587	2255	3367	2982	1887	2021	2079
CDK18	NM_212502	2985	18	39	31	30	31	33
PPP1R12B	NM_001331029	15427	1302	2346	1894	1201	1174	1268
PPP1R12B	NM_001167858	1713	129	203	140	89	110	112
RASSF5	NM_182663	3798	18393	25374	22776	15221	15455	15956
CDK18	NM_212503	3075	18	39	32	30	31	33
RASSF5	NM_182664	3682	16657	23245	20818	14064	14080	14488
RASSF5	NM_182665	3677	21498	29213	26191	17499	18030	18433
PPP1R12B	NM_002481	15244	1282	2301	1867	1151	1151	1234
PROX1-AS1	NR_037850	3399	1	1	0	0	0	0
ESRRG	NM_001350122	5576	1	2	0	0	1	1
ESRRG	NM_001243510	5255	1	2	0	0	1	1
ESRRG	NM_001243511	5137	1	2	0	0	1	1
ESRRG	NM_001350124	5434	1	2	0	0	1	1
ESRRG	NM_001243505	4724	1	2	0	0	1	1
ESRRG	NM_001243507	5623	1	2	0	0	1	1
ESRRG	NM_001243506	4797	1	2	0	0	1	1
ESRRG	NM_001350123	5332	1	2	0	0	1	1
ESRRG	NM_001243509	5714	1	2	0	0	1	1
ESRRG	NM_001350125	5411	1	2	0	0	1	1
KCNH1	NM_172362	8140	8	9	3	0	7	4
ESRRG	NM_206595	5213	1	2	0	0	1	1
KCNH1	NM_002238	8059	8	9	3	0	7	4
LPGAT1	NM_001320808	8471	9609	15261	12400	5873	7662	8731
ESRRG	NM_001134285	5261	1	2	0	0	1	1
LPGAT1	NM_014873	7773	9546	15106	12341	5907	7602	8663
ESRRG	NM_206594	5363	1	2	0	0	1	1
USH2A	NM_206933	18938	3	2	5	0	1	3
FLVCR1	NM_014053	5919	4672	7452	5952	3417	3918	4242
WDR26	NM_001115113	7318	15345	23388	19078	10360	12576	13833
SUSD4	NM_001037175	1064	0	2	0	0	1	0
LYPLAL1-DT	NR_038845	1629	33	41	32	30	17	27
WDR26	NM_025160	6872	14826	22628	18443	9815	12104	13325
SUSD4	NM_017982	2987	1	6	0	4	3	0
RAB3GAP2	NM_012414	7256	10427	15869	12992	6175	8347	9227
COG2	NM_001145036	2929	4914	7424	6156	4276	4017	4413
URB2	NM_001314021	5663	6479	10163	8011	5734	5617	6515
TSNAX-DISC1	NR_028400	2569	1369	2058	1615	877	1140	1365
TSNAX-DISC1	NR_028394	3557	1869	2794	2182	1396	1533	1821
TSNAX-DISC1	NR_028395	3454	1865	2785	2177	1392	1530	1818
TSNAX-DISC1	NR_028396	3429	1379	2076	1628	892	1157	1382
TSNAX-DISC1	NR_028397	3294	1869	2794	2182	1396	1532	1821
TSNAX-DISC1	NR_028398	3048	528	788	597	435	435	516
TSNAX-DISC1	NR_028393	7673	1398	2109	1661	926	1174	1399
DISC1	NM_001164540	6718	34	59	59	49	28	42
DISC1	NM_001164551	1889	8	14	15	10	7	17
DISC1	NM_001164549	2304	12	22	21	15	17	22
DISC1	NM_001164539	2700	17	32	29	20	21	26
DISC1	NM_001012959	2243	17	32	29	20	21	26
DISC1	NM_001164542	2735	17	32	29	20	21	26
DISC1	NM_001164546	2388	12	21	20	15	17	22
DISC1	NM_001164548	2603	11	21	26	16	18	23
DISC1	NM_018662	7084	39	69	68	54	41	49
DISC1	NM_001012957	7018	39	67	68	54	41	47
DISC1	NM_001164537	7180	39	69	68	54	41	49
DISC1	NM_001164547	2643	14	22	25	15	18	25
DISC1	NM_001164541	2929	18	33	32	20	22	29
DISC1	NM_001164556	1553	4	8	10	6	9	11
DISC1	NM_001164555	1794	5	13	14	5	4	9
URB2	NM_014777	5601	6401	10033	7919	5658	5516	6445
COG2	NM_007357	2932	5098	7738	6419	4468	4198	4606
DISC1	NM_001164538	2990	19	33	36	20	22	29
DISC1	NM_001164545	2658	11	22	26	16	18	23
DISC1	NM_001164544	2761	15	31	31	20	21	26
RGS7	NM_001282773	2363	1	2	2	0	2	0
PLD5	NM_001195811	3018	0	0	0	0	0	2
RGS7	NM_001282775	2522	1	3	2	0	4	0
RGS7	NM_001350114	2594	1	3	2	0	4	0
FMN2	NM_001348094	4255	0	5	0	0	0	1
FMN2	NM_001305424	6439	0	5	0	0	0	1
RGS7	NM_001350115	2545	1	3	2	0	4	0
PLD5	NM_152666	3305	0	0	0	0	0	2
RGS7	NM_002924	2495	1	3	2	0	4	0
RGS7	NM_001364886	2551	1	3	2	0	4	0
RGS7	NM_001282778	2441	1	3	2	0	4	0
PLD5	NM_001195812	8243	0	0	0	0	0	4
PLD5	NM_001320272	8714	0	0	0	0	0	4
FMN2	NM_020066	6427	0	5	0	0	0	1
RGS7	NM_001350113	2626	1	3	2	0	4	0
RGS7	NM_001350116	2181	1	3	2	0	4	0
SMYD3	NM_001167740	1565	1535	2194	1793	1206	1209	1409
KIF26B	NM_018012	26283	3842	4659	6070	3331	3170	2994
